orgId,urls
663879,https://inihe.aiu.ac.in/disclaimer/
3802487,https://mkcl.org/privacy-policy/
3802487,https://samarth.edu.in/website-policies/
3802544,https://ucanapply.com/terms.html
3803376,https://ucanapply.com/privacy.html
3803376,https://ucanapply.com/terms.html
3803837,https://samarth.edu.in/terms-and-conditions/
3804009,https://samarth.edu.in/website-policies/
3804543,https://samarth.edu.in/website-policies/
3804543,https://vksu.ac.in/home/termsconditions
3804578,https://aktu.ac.in/disclaimer.html
3804578,https://samarth.edu.in/website-policies/
3805910,https://mkcl.org/privacy-policy/
3805910,https://samarth.edu.in/website-policies/
3807114,https://samarth.edu.in/website-policies/
3807114,https://www.vnsgu.ac.in/conditioning_hall
3807715,https://mkcl.org/privacy-policy/
3807715,https://samarth.edu.in/website-policies/
3809950,http://wbuhs.ac.in/privacy-policy/
3810283,http://wbuhs.ac.in/privacy-policy/
3814657,https://studentservices.jntuh.ac.in/oss/resources/files/TermsandConditions.pdf
3816569,https://ruhsraj.org/privacy-policy/
3816938,https://samarth.edu.in/website-policies/
3819871,https://aktu.ac.in/privacy-policy.html
3819871,https://samarth.edu.in/website-policies/
3823327,https://aptonline.in/termsofuse.html
3824065,https://aktu.ac.in/disclaimer.html
3824065,https://samarth.edu.in/website-policies/
3824979,https://unipune.ac.in/university_files/copyright.htm
3824979,https://unipune.ac.in/university_files/disclaimer.htm
3824979,https://unipune.ac.in/university_files/privacy_statement.htm
3824979,https://www.unipune.ac.in/university_files/disclaimer.htm
3825246,https://eazyclasses.com/legal
3825246,https://eazyclasses.com/privacy-policy
3825246,https://eazyclasses.com/terms-and-conditions
3825246,https://eazyclasses.com/tnc
3825608,https://sis.jntuhceh.ac.in/terms_conditions.html
3825608,https://studentservices.jntuh.ac.in/oss/resources/files/TermsandConditions.pdf
3826179,http://wbuhs.ac.in/privacy-policy/
3826584,https://mkcl.org/privacy-policy/
3826584,https://samarth.edu.in/website-policies/
3826753,http://wbuhs.ac.in/privacy-policy/
3827069,https://mkcl.org/privacy-policy/
3827069,https://samarth.edu.in/website-policies/
3827255,https://samarth.edu.in/website-policies/
3827307,https://samarth.edu.in/terms-and-conditions/
3827307,https://samarth.edu.in/website-policies/
3827307,https://www.unigoa.ac.in/docs/disclaimer.html
3827307,https://www.unigoa.ac.in/docs/terms-and-conditions.html
3827307,https://www.unigoa.ac.in/systems/c/hr-purchase-legal-matters/staff-activities.html
3828191,https://www.suniv.ac.in/privacy-policy.php
3828336,https://cetug.puchd.ac.in/copyright
3828336,https://puchd.ac.in/show-disclaimer.php
3828623,https://samarth.edu.in/terms-and-conditions/
3828638,https://samarth.edu.in/terms-and-conditions/
3829015,https://www.unigoa.ac.in/docs/disclaimer.html
3829015,https://www.unigoa.ac.in/docs/terms-and-conditions.html
3829015,https://www.unigoa.ac.in/systems/c/hr-purchase-legal-matters/staff-activities.html
3829033,https://www.epravesh.com/terms-of-use/
3829034,https://www.gujinfo.com/disclaimer
3829034,https://www.gujinfo.com/terms-conditions
3829175,https://online.vtu.ac.in/legal/privacy-policy
3829828,https://mkcl.org/privacy-policy/
3829828,https://samarth.edu.in/website-policies/
3829832,https://samarth.edu.in/website-policies/
3829850,https://sis.jntuhceh.ac.in/terms_conditions.html
3829850,https://studentservices.jntuh.ac.in/oss/resources/files/TermsandConditions.pdf
3830163,https://www.hpuniv.ac.in/innerpage/website-policies.php
3830469,http://wbuhs.ac.in/privacy-policy/
3830492,https://samarth.edu.in/website-policies/
3830579,https://csjmu.ac.in/frontpage/terms-and-conditions/
3830579,https://samarth.edu.in/website-policies/
3830972,https://iqwing.in/iqcampus-privacy-policy
3830972,https://www.himtu.ac.in/en/terms-and-conditions
3830995,https://sis.jntuhceh.ac.in/terms_conditions.html
3830995,https://studentservices.jntuh.ac.in/oss/resources/files/TermsandConditions.pdf
3831804,https://studentservices.jntuh.ac.in/oss/resources/files/TermsandConditions.pdf
3832636,https://www.annauniv.edu/privacy_policy.php
3832779,https://samarth.edu.in/website-policies/
3833159,http://wbuhs.ac.in/privacy-policy/
3833439,http://wbuhs.ac.in/privacy-policy/
3834362,https://aptonline.in/termsofuse.html
3834919,https://samarth.edu.in/website-policies/
3835835,https://aktu.ac.in/privacy-policy.html
3835835,https://samarth.edu.in/website-policies/
3836515,https://www.exam.ranchiuniversity.co.in/privacy-policy
3837004,https://samarth.edu.in/website-policies/
3837004,https://www.vnsgu.ac.in/conditioning_hall
3837164,https://samarth.edu.in/terms-and-conditions/
3837209,https://online.vtu.ac.in/legal/privacy-policy
3837233,https://sis.jntuhceh.ac.in/terms_conditions.html
3837233,https://studentservices.jntuh.ac.in/oss/resources/files/TermsandConditions.pdf
3837792,https://samarth.edu.in/website-policies/
3837792,https://www.vnsgu.ac.in/conditioning_hall
3837856,https://mkcl.org/privacy-policy/
3837856,https://samarth.edu.in/website-policies/
3837869,https://ucanapply.com/privacy.html
3837869,https://ucanapply.com/terms.html
3838113,https://unipune.ac.in/university_files/copyright.htm
3839257,https://samarth.edu.in/website-policies/
3839257,https://www.softvision.co.in/terms-of-use/
3839278,https://samarth.edu.in/website-policies/
3839352,https://samarth.edu.in/terms-and-conditions/
3839715,https://studentservices.jntuh.ac.in/oss/resources/files/TermsandConditions.pdf
3839998,https://samarth.edu.in/terms-and-conditions/
3841105,https://vtu.ac.in/en/privacy-policy-and-terms-of-use/
3841167,https://automation.muhs.ac.in/copyright
3841167,https://www.iitms.co.in/terms-and-conditions/
3841181,https://www.annauniv.edu/privacy_policy.php
3841246,https://unipune.ac.in/university_files/copyright.htm
3841473,https://jnafau.ac.in/privacy-policy/
3842223,https://beu.intelliexams.com/beuexams/SubLinks/FrmDisclaimer.aspx?Dis=IEHome
3842223,https://beu.intelliexams.com/beuexams/SubLinks/FrmTermsofuse.aspx?Terms=IEHome
3842270,https://mkcl.org/privacy-policy/
3842270,https://samarth.edu.in/website-policies/
3842340,https://samarth.edu.in/terms-and-conditions/
3842340,https://samarth.edu.in/website-policies/
3842344,https://samarth.edu.in/website-policies/
3842344,https://www.unigoa.ac.in/docs/terms-and-conditions.html
3844173,https://samarth.edu.in/terms-and-conditions/
3844173,https://samarth.edu.in/website-policies/
3844647,https://samarth.edu.in/terms-and-conditions/
3845195,https://samarth.edu.in/terms-and-conditions/
3845195,https://samarth.edu.in/website-policies/
3845231,https://cdoe.bharatividyapeeth.integratededucation.pwc.in/sso/auth/legal-notices/terms-and-conditions
3846029,https://ddceutkal.ac.in/downloads/terms-and-conditions.pdf
3846029,https://www.iitms.co.in/privacy-policy/
3846029,https://www.iitms.co.in/terms-and-conditions/
3846380,https://mkcl.org/privacy-policy/
3846380,https://samarth.edu.in/website-policies/
4546162,https://www.ipu.ac.in/disclaimer.php
4548852,https://samarth.edu.in/terms-and-conditions/
4548852,https://samarth.edu.in/website-policies/
4637109,https://drmgrdu.ac.in/privacy-policy/
4637135,https://samarth.edu.in/terms-and-conditions/
4637135,https://samarth.edu.in/website-policies/
4777594,https://unipune.ac.in/university_files/copyright.htm
4814877,https://www.knruhs.telangana.gov.in/terms-conditions/
4832801,https://samarth.edu.in/website-policies/
5441233,https://www.knruhs.telangana.gov.in/terms-conditions/
5877856,https://rajuvas.ac.in/privacy-policy/
5879031,https://ucanapply.com/terms.html
5967986,https://examforms.kuk.ac.in/KukTermCondition.aspx
6799754,https://samarth.edu.in/terms-and-conditions/
6805479,https://cetug.puchd.ac.in/copyright
6805479,https://puchd.ac.in/show-disclaimer.php
6805776,https://nmims.edu/disclaimer
7116550,https://msubaroda.ac.in/Website_Policy
7577599,https://mpsuerp.in/mpsu-student-portal/privacy.html
7577599,https://mpsuerp.in/mpsu-student-portal/tnc.html
7585503,https://mkcl.org/privacy-policy/
7585503,https://samarth.edu.in/terms-and-conditions/
7585503,https://samarth.edu.in/website-policies/
7589104,http://www.ipu.ac.in/disclaimer.php
10007249,https://unipune.ac.in/university_files/copyright.htm
10010264,https://osmaniaerp.com/cstonline/Attachments/Website_Policies.PDF
10042816,https://www.unishivaji.ac.in/about_suk/Terms-0f-Use
10044850,https://nmims.edu/disclaimer
10044850,https://svkm.ac.in/Privacy%20policy/HF__4.html
10046881,https://cetug.puchd.ac.in/copyright
10046881,https://puchd.ac.in/show-disclaimer.php
10050748,https://abvmuup.edu.in/terms-of-use.php
10050788,https://cdoe.mgu.ac.in/privacy-policy-2/
10050788,https://cdoe.mgu.ac.in/terms-and-conditions/
10056492,https://samarth.edu.in/website-policies/
10063100,https://samarth.edu.in/website-policies/
10080919,https://www.odoo.com/documentation/19.0/legal.html
10147873,https://mkcl.org/privacy-policy/
10147873,https://samarth.edu.in/website-policies/
10203756,https://www.iitms.co.in/terms-and-conditions/
10203756,https://www.muhs.ac.in/website/termsAndConditons
10204335,https://mpsuerp.in/mpsu-student-portal/privacy.html
10204335,https://mpsuerp.in/mpsu-student-portal/tnc.html
10206079,https://registration.sdsuvexam.org/Disclaimer
10206079,https://samarth.edu.in/website-policies/
10206333,https://unipune.ac.in/university_files/copyright.htm
10234772,https://www.epravesh.com/terms-of-use/
10237768,https://www.iitms.co.in/privacy-policy/
10237768,https://www.iitms.co.in/terms-and-conditions/
10242684,https://mkcl.org/privacy-policy/
10242684,https://samarth.edu.in/website-policies/
10251119,https://gujaratuniversity.ac.in/disclaimer
10251119,https://samarth.edu.in/terms-and-conditions/
10251119,https://samarth.edu.in/website-policies/
10251119,https://www.gujaratuniversity.ac.in/disclaimer
10254203,https://mkcl.org/privacy-policy/
10254203,https://samarth.edu.in/website-policies/
10275551,https://aktu.ac.in/disclaimer.html
10275551,https://samarth.edu.in/website-policies/
10288282,https://beu.intelliexams.com/beuexams/SubLinks/FrmDisclaimer.aspx?Dis=IEHome
10288282,https://beu.intelliexams.com/beuexams/SubLinks/FrmTermsofuse.aspx?Terms=IEHome
10288282,https://samarth.edu.in/terms-and-conditions/
10288282,https://samarth.edu.in/website-policies/
10289674,https://unipune.ac.in/university_files/copyright.htm
10293161,https://unipune.ac.in/university_files/copyright.htm
10293430,https://mkcl.org/privacy-policy/
10293430,https://samarth.edu.in/website-policies/
10308195,https://mkcl.org/privacy-policy/
10308195,https://samarth.edu.in/website-policies/
10326802,https://samarth.edu.in/website-policies/
10331464,https://unipune.ac.in/university_files/copyright.htm
10333334,https://osmaniaerp.com/cstonline/Attachments/Website_Policies.PDF
10484952,https://samarth.edu.in/terms-and-conditions/
10557608,https://nmims.edu/disclaimer
10557608,https://nmims.edu/privacy-policy.php
10557608,https://svkm.ac.in/Disclaimer/HF__11.html
10557608,https://svkm.ac.in/Privacy%20policy/HF__4.html
10557608,https://www.nmims.edu/disclaimer
10557608,https://www.nmims.edu/privacy-policy
11245352,https://mkcl.org/privacy-policy/
11245352,https://samarth.edu.in/website-policies/
