University Name,Website
University of Dhaka,https://www.du.ac.bd/
University of Rajshahi,http://ru.ac.bd/
University of Chittagong,https://web.cu.ac.bd/v2/
Jahangirnagar University,https://juniv.edu/
"Islamic University, Bangladesh",http://iu.ac.bd/
Khulna University,http://ku.ac.bd/
Jagannath University,http://jnu.ac.bd/
Comilla University,http://cou.ac.bd/
Jatiya Kabi Kazi Nazrul Islam University,http://jkkniu.edu.bd/
Bangladesh University of Professionals,http://bup.edu.bd/
Begum Rokeya University,http://brur.ac.bd/
University of Barisal,http://bu.ac.bd/
"Rabindra University, Bangladesh",http://www.rub.ac.bd/
Netrokona University,https://www.shu.edu.bd/
Kishoreganj University,https://bsmru.ac.bd/
Meherpur University,https://www.mum.ac.bd/
Thakurgaon University,
Shahjalal University of Science and Technology,http://www.sust.edu/
Hajee Mohammad Danesh Science & Technology University,http://hstu.ac.bd/
Mawlana Bhashani Science and Technology University,http://mbstu.ac.bd/
Patuakhali Science and Technology University,http://pstu.ac.bd/
Noakhali Science and Technology University,http://nstu.edu.bd/
Jashore University of Science and Technology,http://just.edu.bd/
Pabna University of Science and Technology,http://www.pust.ac.bd/
Gopalganj Science and Technology University,http://www.bsmrstu.edu.bd/
Rangamati Science and Technology University,http://rmstu.edu.bd/
Jamalpur Science and Technology University,http://bsfmstu.ac.bd/
Chandpur Science and Technology University,http://cstu.ac.bd/
Sunamganj Science and Technology University,https://sstu.ac.bd/
Bogura Science and Technology University,
Lakshmipur Science and Technology University,
Pirojpur Science and Technology University,https://www.bsmrstup.ac.bd/
Satkhira University of Science and Technology,
Narayanganj Science and Technology University,
Bangladesh University of Engineering & Technology,https://www.buet.ac.bd/
Military Institute of Science and Technology,https://mist.ac.bd/
Rajshahi University of Engineering & Technology,http://www.ruet.ac.bd/
Khulna University of Engineering & Technology,http://kuet.ac.bd/
Chittagong University of Engineering & Technology,http://www.cuet.ac.bd/
Dhaka University of Engineering & Technology,http://duet.ac.bd/
Bangladesh Agricultural University,http://bau.edu.bd/
Gazipur Agricultural University,https://bsmrau.edu.bd/
Sher-e-Bangla Agricultural University,http://sau.edu.bd/
Sylhet Agricultural University,http://sau.ac.bd/
Khulna Agricultural University,http://kau.edu.bd/
Habiganj Agricultural University,http://hau.ac.bd/
Kurigram Agricultural University,https://kuriau.edu.bd/
Shariatpur Agriculture University,
Bangladesh Medical University,http://bsmmu.edu.bd/
Chittagong Medical University,http://cmu.edu.bd/
Rajshahi Medical University,http://www.rmu.edu.bd/
Sylhet Medical University,https://smu.edu.bd/
Khulna Medical University,https://shmu.ac.bd/
Chittagong Veterinary and Animal Sciences University,http://cvasu.ac.bd/
Bangladesh University of Textiles,http://butex.edu.bd/
Bangladesh Maritime University,http://bsmrmu.edu.bd/
"University of Frontier Technology, Bangladesh",https://bdu.ac.bd/
Aviation and Aerospace University Bangladesh,http://bsmraau.edu.bd/
National University Bangladesh,http://www.nu.ac.bd/
Bangladesh Open University,http://bou.ac.bd/
Islamic Arabic University,http://iau.edu.bd/
Dhaka Central University,http://dcu.ac.bd/
Sylhet Engineering College,http://sec.ac.bd/
Mymensingh Engineering College,http://mec.ac.bd/
Faridpur Engineering College,http://fec.ac.bd/
Barisal Engineering College,http://barisal-eng.portal.gov.bd/
"Textile Engineering College, Chittagong",https://ctec.chittagong.gov.bd/
Pabna Textile Engineering College,https://www.pabtec.gov.bd/
"Textile Engineering College, Noakhali",https://www.tecn.gov.bd/
Tangail Textile Engineering College,https://btec.portal.gov.bd/
Barishal Textile Engineering College,https://www.sarstec.com/
Jhenaidah Textile Engineering College,https://sktec.jhenaidah.gov.bd/
Rangpur Textile Engineering College,http://dwmtec.pirgonj.rangpur.gov.bd/
Gopalganj Textile Engineering College,https://www.srtec.gov.bd/
Jamalpur Textile Engineering College,https://jtec-jamalpurgovtex.com/
International University of Business Agriculture and Technology,http://www.iubat.edu/
North South University,http://www.northsouth.edu/
"Independent University, Bangladesh",http://www.iub.edu.bd/
American International University-Bangladesh,https://www.aiub.edu/
Dhaka International University,http://diu.ac/
"International Islamic University, Chittagong",http://www.iiuc.ac.bd/
Asian University of Bangladesh,http://www.aub.edu.bd/
East West University,http://www.ewubd.edu/
Gono Bishwabidyalay,https://www.gonouniversity.edu.bd/
People's University of Bangladesh,http://pub.ac.bd/
Queens University,http://queensuniversity.edu.bd/
University of Asia Pacific (Bangladesh),http://www.uap-bd.edu/
Chittagong Independent University,http://ciu.edu.bd/
Bangladesh University,http://bu.edu.bd/
BGC Trust University Bangladesh,http://bgctub.ac.bd/
Brac University,http://www.bracu.ac.bd/
Manarat International University,http://www.manarat.ac.bd/
"Premier University, Chittagong",http://puc.ac.bd/
"Southern University, Bangladesh",http://www.southern.edu.bd/
Sylhet International University,http://siu.edu.bd/
University of Development Alternative,http://uoda.edu.bd/
"City University, Bangladesh",http://cityuniversity.edu.bd/
Daffodil International University,http://daffodilvarsity.edu.bd/
Green University of Bangladesh,http://green.edu.bd/
IBAIS University,http://www.ibaisuniv.edu.bd/
Leading University,http://lus.ac.bd/
"Northern University, Bangladesh",http://nub.ac.bd/
Prime University,https://www.primeuniversity.edu.bd/
Southeast University,http://www.seu.edu.bd/
Stamford University Bangladesh,https://stamforduniversity.edu.bd/
State University of Bangladesh,http://sub.edu.bd/
"Eastern University, Bangladesh",http://www.easternuni.edu.bd/
Metropolitan University,http://metrouni.edu.bd/
Millennium University,http://www.themillenniumuniversity.edu.bd/
Primeasia University,http://primeasia.edu.bd/
Royal University of Dhaka,http://www.royal.edu.bd
United International University,https://uiu.ac.bd/
University of Information Technology and Sciences,http://uits.edu.bd/
"University of South Asia, Bangladesh",http://southasiauni.edu.bd/
Presidency University,http://presidency.edu.bd/
Uttara University,http://uttarauniversity.edu.bd/
Victoria University of Bangladesh,http://vub.edu.bd/
World University of Bangladesh,http://www.wub.edu.bd/
Asa University Bangladesh,http://www.asaub.edu.bd/
Bangladesh Islami University,http://www.biu.ac.bd/
East Delta University,https://www.eastdelta.edu.bd/
Northern University of Business and Technology Khulna,https://nubtkhulna.ac.bd/
Britannia University,http://britannia.edu.bd/
Feni University,http://feniuniversity.edu.bd/
Khwaja Yunus Ali University,http://www.kyau.edu.bd/
European University of Bangladesh,http://eub.edu.bd/
First Capital University Of Bangladesh,http://fcub.edu.bd/
BGMEA University of Fashion & Technology,https://buft.edu.bd/
Hamdard University Bangladesh,http://hamdarduniversity.edu.bd/
Ishakha International University,http://www.ishakha.edu.bd/
North East University Bangladesh,http://neub.edu.bd/
"North Western University, Bangladesh",http://nwu.edu.bd/
Port City International University,https://www.portcity.edu.bd/
Varendra University,http://vu.edu.bd/
Sonargaon University,http://su.edu.bd/
Cox's Bazar International University,http://www.cbiu.ac.bd/
Fareast International University,http://www.fiu.edu.bd/
German University Bangladesh,https://gub.edu.bd/
North Bengal International University,https://www.nbiu.edu.bd/
Notre Dame University Bangladesh,http://ndub.edu.bd/
Ranada Prasad Shaha University,http://www.rpsu.edu.bd/
Brahmaputra International University,http://www.sfmuniversity.org
Times University Bangladesh,http://timesuniversitybd.com/
Canadian University of Bangladesh,http://cub.edu.bd/
Global University Bangladesh,http://globaluniversity.edu.bd/
NPI University of Bangladesh,https://www.npiub.edu.bd
Rabindra Maitree University,https://rmu.ac.bd/
University of Scholars,https://ius.edu.bd/
University of Creative Technology Chittagong,http://www.uctc.edu.bd/
Anwer Khan Modern University,https://akmu.edu.bd
University of Global Village,http://ugv.edu.bd/
Khulna Khan Bahadur Ahsanullah University,https://www.kkbau.ac.bd/
"Trust University, Barishal",https://trustuniversity.edu.bd
University of Brahmanbaria,https://uob.edu.bd/
University of Skill Enrichment and Technology,http://uset.edu.bd
International Standard University,http://www.isu.ac.bd
ZNRF University of Management Sciences,http://www.zums.edu.bd
Bandarban University,https://bubban.edu.bd
RTM Al-Kabir Technical University,http://www.rtm-aktu.edu.bd/
International Islami University of Science and Technology Bangladesh,https://www.iiustb.ac.bd/
Microland University of Science and Technology,https://www.microlanduniversity.org/
Lalon University of Science & Arts,https://www.lusa.ac.bd/
Grameen University,https://grameenu.ac/
University of Science & Technology Chittagong,http://ustc.ac.bd/
Ahsanullah University of Science and Technology,http://www.aust.edu/
Pundra University of Science and Technology,http://www.pundrouniversity.edu.bd/
Bangladesh University of Business and Technology,http://www.bubt.edu.bd/
Atish Dipankar University of Science and Technology,http://www.adust.edu.bd/
ZH Sikder University of Science & Technology,https://zhsust.edu.bd/
Rajshahi Science & Technology University,http://rstu.edu.bd/
Bangladesh Army International University of Science & Technology,http://www.baiust.edu.bd/
"Bangladesh Army University of Science & Technology, Khulna",https://baustkhulna.ac.bd/
"Bangladesh Army University of Science and Technology, Saidpur",http://baust.edu.bd/
CCN University of Science & Technology,https://ccnust.ac.bd/
Central University of Science and Technology,http://cust.edu.bd/
Dr. Momtaz Begum University of Science and Technology,http://must.ac.bd/
Central Women's University,http://www.cwu.edu.bd/
Shanto-Mariam University of Creative Technology,http://smuct.edu.bd/
University of Liberal Arts Bangladesh,http://ulab.edu.bd/
Bangladesh University of Health Sciences,http://buhs.ac.bd/
Exim Bank Agricultural University Bangladesh,http://www.ebaub.edu.bd/
Bangladesh Army University of Engineering & Technology,http://bauet.ac.bd/
Tagore University of Creative Arts,https://www.tuca.edu.bd/
Islamic University of Technology,http://www.iutoic-dhaka.edu/
Asian University for Women,https://asian-university.org/
Mymensingh University of Engineering and Technology,
Mymensingh Medical University,
Thakurgaon University of Science and Technology,
Marine Science University of Barisal,
Michael Madhusudan Cultural University,
Bangladesh University of Juridical Sciences,
Bangladesh University of Educational Planning and Administration,
